language	isoSWEDISH	swe
DANISH	dan
GUTNISH_LAU	
OSSETIC_IRON	oss
BIHARI	mai
MARATHI	mar
SORBIAN_UPPER	hsb
DUTCH	nld
SLOVENIAN	slv
BELARUSIAN	bel
ANCIENT_GREEK	grc
GREEK	ell
OLD_SWEDISH	
ICELANDIC	isl
SLOVAK	slk
ENGLISH	eng
ASSAMESE	asm
BRETON	bre
ITALIAN	ita
ELFDALIAN	qov
FAROESE	fao
UKRAINIAN	ukr
CZECH	ces
STAVANGERSK	
NORWEGIAN_RIKSMAL	nor
OLD_NORSE	non
SPANISH	spa
MAGAHI	mag
OLD_CHURCH_SLAVONIC	chu
PORTUGUESE	por
ORIYA	ori
OLD_IRISH	sga
IRISH	gle
MIDDLE_BRETON	
GERMAN	deu
DANISH_FJOLDE	
OSSETIC	oss
MACEDONIAN	mkd
LATIN	lat
FRENCH	fra
URDU	urd
POLISH	pol
FRISIAN	frs
BULGARIAN	bul
CLASSICAL_ARMENIAN	xcl
ARMENIAN_EASTERN	hye
SORBIAN_LOWER	dsb
CATALAN	cat
SERBO-CROATIAN	srp
RUSSIAN	rus
OSSETIC_DIGOR	oss
MIDDLE_CORNISH	cor
